ds,yhat,yhat_lower,yhat_upper
2025-01-01 00:00:00,5.220559333032625,-9.146536474282065,18.743160225995272
2025-01-01 01:00:00,5.806502616889376,-8.431572847818595,19.462178954479374
2025-01-01 02:00:00,4.952256687294438,-8.190396165781252,19.477311075494114
2025-01-01 03:00:00,3.3273759377220764,-11.415804673618092,17.608552603502662
2025-01-01 04:00:00,2.351321125796257,-11.80378449143265,16.306106985911587
2025-01-01 05:00:00,2.8939604508911803,-11.833776206498865,15.868047150072853
2025-01-01 06:00:00,4.5016404545041535,-9.80598211775996,18.62383065945446
2025-01-01 07:00:00,5.853161842827717,-6.702011939067637,19.67376878666236
2025-01-01 08:00:00,5.970895255320659,-7.9371231812785545,20.12253527491272
2025-01-01 09:00:00,5.023936356455723,-8.966201638932219,19.925170482330767
2025-01-01 10:00:00,4.011057045948603,-10.13304671402023,18.286901795116105
2025-01-01 11:00:00,3.7233892540143576,-10.600333484157803,18.459530567732752
2025-01-01 12:00:00,4.050747591151542,-10.20214519655754,17.812753064450327
2025-01-01 13:00:00,4.278598143348981,-9.09807389556177,17.320175178709967
2025-01-01 14:00:00,3.9834499734120055,-10.838446974588534,19.259429766170726
2025-01-01 15:00:00,3.539580387823911,-11.11673497036544,17.52118325662058
2025-01-01 16:00:00,3.6918331935168434,-10.195563812674521,17.651840475172033
2025-01-01 17:00:00,4.655437334555429,-10.15754162850333,19.12548720445851
2025-01-01 18:00:00,5.727884334395033,-8.747891217734248,19.351990738634683
2025-01-01 19:00:00,5.888762513022851,-7.9673452084205225,21.051982890411264
2025-01-01 20:00:00,4.831055335253085,-9.579210930972078,18.986543162283162
2025-01-01 21:00:00,3.371209373604988,-10.150869237352987,17.493834626957163
2025-01-01 22:00:00,2.7585576598747283,-11.90664214180599,16.95346496547177
2025-01-01 23:00:00,3.5002187395192346,-10.675169727217877,17.747012969941334
2025-01-02 00:00:00,4.840609346832591,-9.575080708497072,19.023603009113753
2025-01-02 01:00:00,5.437863748778215,-8.17098633381672,19.352189610222844
2025-01-02 03:00:00,3.0560333906983748,-11.723255810229151,16.5505277336728
2025-01-02 04:00:00,2.1223039598182734,-12.289551579417497,16.023933018284865
2025-01-02 05:00:00,2.6748795371360394,-11.46823497037326,17.10206870771709
2025-01-02 06:00:00,4.2693784166930815,-9.402613979927983,18.83770195848303
2025-01-02 07:00:00,5.612032773512592,-9.350899425218712,19.883127853511553
2025-01-02 08:00:00,5.745573898840394,-9.363943189378016,19.83188270868704
2025-01-02 09:00:00,4.835557401149641,-10.079266799213011,18.71032137844003
2025-01-02 10:00:00,3.8598464063971902,-10.902394610636698,17.159246028814096
2025-01-02 11:00:00,3.5929525276355956,-10.676154957614559,17.375285933631556
2025-01-02 12:00:00,3.9269229243500448,-11.034871861597372,19.154257973947207
2025-01-02 13:00:00,4.162157514859276,-8.77038776529396,17.951819039857973
2025-01-02 14:00:00,3.8840454551574317,-11.018616947461858,17.287931362416945
2025-01-02 15:00:00,3.4590086711745966,-10.824062420148762,17.154843343345693
2025-01-02 16:00:00,3.61621565219571,-9.9196704995102,17.910025099990907
2025-01-02 17:00:00,4.5663246647290645,-8.480238107654268,18.920041668075395
2025-01-02 18:00:00,5.621590916724165,-9.607859237715722,19.312280011614334
2025-01-02 19:00:00,5.7831286833003945,-8.111714767944862,20.259985425312944
2025-01-02 20:00:00,4.7504596305357385,-9.550245510240321,18.003855309230993
2025-01-02 21:00:00,3.3228465938337814,-11.034870135200771,17.837430709620214
2025-01-02 22:00:00,2.7232210085710857,-12.402935321428107,15.538794919204072
2025-01-02 23:00:00,3.4479221885026767,-11.430502954133381,17.06495491504009
2025-01-03 00:00:00,4.757309030266822,-9.01363013959835,18.916428063638843
2025-01-03 01:00:00,5.337949456716142,-8.891835344481438,20.549796803079733
2025-01-03 02:00:00,4.536566510410957,-10.783978773723224,18.662182701252384
2025-01-03 03:00:00,2.994863038876951,-10.966848106639285,16.694389081659548
2025-01-03 04:00:00,2.073131839234108,-12.420125119585437,16.069402366468037
2025-01-03 05:00:00,2.604791574055552,-11.321564300683356,16.464874069400654
2025-01-03 06:00:00,4.154846460665955,-10.0253815553127,17.913514525525493
2025-01-03 07:00:00,5.4570612188664915,-7.9332430213070175,19.490594644550235
2025-01-03 08:00:00,5.574616917792408,-8.814068558764825,20.277088531729817
2025-01-03 09:00:00,4.669607674823746,-9.167578496148492,18.83520531443689
2025-01-03 10:00:00,3.6990574468852597,-9.979540356558035,17.15349360370935
2025-01-03 11:00:00,3.420919948983183,-10.753549053664782,16.21226902202248
2025-01-03 12:00:00,3.729532035740167,-10.805391008691151,18.145294169627984
2025-01-03 13:00:00,3.940281338992053,-11.288330505413823,18.01236609460913
2025-01-03 14:00:00,3.647489786320194,-9.806691819212272,17.935605416456525
2025-01-03 15:00:00,3.209777473007437,-12.053809355116162,16.45802326984547
2025-01-03 16:00:00,3.3406940354207224,-10.829953413492781,17.06487044151071
2025-01-03 17:00:00,4.246388413334892,-10.881569039178338,17.837630173785534
2025-01-03 18:00:00,5.253947592682268,-9.666845761678113,19.40859694800188
2025-01-03 19:00:00,5.386088345663708,-7.761442531946138,18.814580954990628
2025-01-03 20:00:00,4.348957045293058,-9.621912452866486,17.97947633762301
2025-01-03 21:00:00,2.9247305535518007,-10.12683715814722,16.73738720398281
2025-01-03 22:00:00,2.3121123188254584,-11.46069559297371,17.422693879289305
2025-01-03 23:00:00,2.9959427710527247,-10.776469610766314,17.690595365695636
2025-01-04 00:00:00,4.254197804778662,-8.927666731266667,18.89208742052349
